year_month,wind_speed,year,month,date,moving_avg
2015-08,3.271617497456765,2015,8,2015-08-01,3.5889051661909157
2015-09,3.173867228661749,2015,9,2015-09-01,3.5785695405092195
2015-10,3.166160081053698,2015,10,2015-10-01,3.586928203123201
2015-11,3.2094240837696337,2015,11,2015-11-01,3.5771853867391914
2015-12,3.6255102040816327,2015,12,2015-12-01,3.567717034180777
2016-01,3.435793731041456,2016,1,2016-01-01,3.5969696062848873
2016-02,3.5194228634850164,2016,2,2016-02-01,3.6269887761492963
2016-03,2.8807053941908713,2016,3,2016-03-01,3.6192361111870874
2016-04,3.2111344537815127,2016,4,2016-04-01,3.5415925537641186
2016-05,3.750252780586451,2016,5,2016-05-01,3.504181369490496
2016-06,3.699367088607595,2016,6,2016-06-01,3.4382005768223247
2016-07,3.8621041879468847,2016,7,2016-07-01,3.4004466328886056
2016-08,3.2160493827160495,2016,8,2016-08-01,3.3958159566602126
2016-09,3.2283298097251585,2016,9,2016-09-01,3.4003545050821633
2016-10,3.702839756592292,2016,10,2016-10-01,3.4450778113770464
2016-11,3.6117021276595747,2016,11,2016-11-01,3.478600981701208
2016-12,3.435137895812053,2016,12,2016-12-01,3.4627366226787433
2017-01,2.9896800825593397,2017,1,2017-01-01,3.4255604853052333
2017-02,3.319506726457399,2017,2,2017-02-01,3.4089008072195988
2017-03,3.0597165991902835,2017,3,2017-03-01,3.4238184076362157
2017-04,3.241850683491062,2017,4,2017-04-01,3.4263780934453454
2017-05,3.0,2017,5,2017-05-01,3.3638570283964744
2017-06,4.386993603411514,2017,6,2017-06-01,3.4211592379634674
2017-07,3.180061037639878,2017,7,2017-07-01,3.3643223087712175
2017-08,4.04786680541103,2017,8,2017-08-01,3.433640427329132
2017-09,3.0823401950162514,2017,9,2017-09-01,3.4214746261033895
2017-10,4.101419878296146,2017,10,2017-10-01,3.454689636245378
2017-11,3.4373024236037937,2017,11,2017-11-01,3.4401563275740625
2017-12,3.842479674796748,2017,12,2017-12-01,3.4741014758227866
2018-01,3.2285136501516685,2018,1,2018-01-01,3.4940042731221475
2018-02,3.0528683914510686,2018,2,2018-02-01,3.4717844118716203
2018-03,3.152129817444219,2018,3,2018-03-01,3.4794855133927816
2018-04,3.2974413646055436,2018,4,2018-04-01,3.4841180701523218
2018-05,4.033707865168539,2018,5,2018-05-01,3.5702603922497
2018-06,3.75678496868476,2018,6,2018-06-01,3.5177430060224704
2018-07,3.6831785345717236,2018,7,2018-07-01,3.5596694641001236
2018-08,3.107471852610031,2018,8,2018-08-01,3.4813032180333745
2018-09,3.2694117647058825,2018,9,2018-09-01,3.496892515507511
2018-10,3.1549586776859506,2018,10,2018-10-01,3.418020748789994
2018-11,2.825165562913907,2018,11,2018-11-01,3.3670093437325033
2018-12,3.891480730223124,2018,12,2018-12-01,3.371092765018035
2019-01,3.079107505070994,2019,1,2019-01-01,3.3586422529279787
2019-02,3.1952861952861955,2019,2,2019-02-01,3.370510403247572
2019-03,3.1620227038183693,2019,3,2019-03-01,3.3713348104454184
2019-04,3.409853249475891,2019,4,2019-04-01,3.380702467517947
2019-05,3.416326530612245,2019,5,2019-05-01,3.3292540229715892
2019-06,4.022058823529412,2019,6,2019-06-01,3.3513601775419772
2019-07,4.145748987854251,2019,7,2019-07-01,3.3899077153155215
2019-08,3.286447638603696,2019,8,2019-08-01,3.404822364148327
2019-09,3.0149732620320857,2019,9,2019-09-01,3.383619155592177
2019-10,3.1211498973305956,2019,10,2019-10-01,3.3808017572292304
2019-11,3.4089569160997732,2019,11,2019-11-01,3.4294510366613857
2019-12,3.516860465116279,2019,12,2019-12-01,3.398232681235816
2020-01,3.4965317919075143,2020,1,2020-01-01,3.4330180384721927
2020-02,3.0940813810110974,2020,2,2020-02-01,3.4245843039492674
2020-03,3.4892344497607657,2020,3,2020-03-01,3.451851949444467
2020-04,3.453305785123967,2020,4,2020-04-01,3.455472994081807
2020-05,4.362198391420911,2020,5,2020-05-01,3.5342956491491955
2020-06,5.5757997218358835,2020,6,2020-06-01,3.6637740573414015
2020-07,5.459139784946236,2020,7,2020-07-01,3.7732232904324
2020-08,3.73360768175583,2020,8,2020-08-01,3.8104866273617444
2020-09,3.0850187265917604,2020,9,2020-09-01,3.8163237494083844
